reviewId,userName,content,score,appVersion
ed4aa2c6-c8a0-417d-b729-3d55adc75d70,Nguyễn Hoà (Ty),Chưa hỗ trợ tiếng việt,1,10.9.1
d5c6fb30-d955-4c7e-99d9-e4353c58bd6f,Thông Thái,Hay,5,10.9.2
a8d84efc-155d-452c-a7d4-899165de9c8e,Nga Pham,Áp lừa đảo m.n ạ tôi đã mất một số tiền với áp này,1,10.9.2
b1ca595c-d5e2-4379-8ff2-f65192b15031,tien thinh dinh,Xin cam on,5,10.6.4
0307eea1-74c7-4319-b6d4-6c0360494c75,Thang Le,Ok,5,10.9.2
f65c170f-aa7b-4be8-92d1-2f175ba6ab92,Toan Tran,Jok,5,10.9.2
f6ea391a-96c6-4f33-99e1-e7b70ad7d289,Anh Nguyen van,Rất tuyệt vời,5,10.9.1
7bbed5be-165a-43db-a4e2-678b2c9750c4,Hoang Nguyen,cak,1,
a68117d9-c8df-4f13-9bf8-ed607b2e883e,Quốc Chung Lường,Quá tuyệt,5,10.9.1
79401d9f-46cd-4a3c-9f48-757ba4cf3d7a,Cuong Nguyen,Toi không dang nhập duoc,5,10.9.1
a9b25411-6de5-4db9-97af-d8dcaf908e09,Khánh Quốc,Ứng dụng lừa đảo,1,
8500d4b7-a174-43f6-b57f-f8c3178a76c7,Hào Hào,Như con cscj,1,10.9.1
7fc3cb89-cb75-4291-8082-a4b5b669cd56,Hoa Đặng,Kha ổn,4,10.9.1
5201038e-14e5-4766-8c85-dbc2b4dbadd7,Lan Thái,Như cặc,1,
2f787d37-102a-4849-b21f-cbb737774e60,Kien Lai,Xin code mãi ko đc,5,10.9.1
ac734acd-eb80-41ae-9a6a-651c84a2d157,Van Tran,Bị Hack mất nik rồi nó thay luôn gmail luôn dm,1,10.9.1
09765dd9-91bf-4058-9480-1deef087bcef,Ty Ty,Lytandu,5,
9e1333c1-5932-4660-9a8f-9e15188a1387,Ongg Mật,Great:))))) hk biết ns j nx:))),5,
3387a849-f052-4af1-98c7-08247aede10c,Minh Kiên Trần,Ok,5,10.9.1
312d259f-6fc4-4b1a-b5a6-569f0162b89e,Huyen Hoàng,"Tôi muốn có ứng dụng telegram Cung cấp tài khoản telegram cho tôi ,tôi thích ứng dụng telegram nhưng ko tải đc xin mọi người trợ giúp tôi với",3,10.9.1
7ab82aae-6c96-468d-be0c-229b9043d87a,An Nguyen minh,Ai đó đăng nhập tk tôi,1,10.9.1
5b6f216a-e2cf-4700-a380-7711c31abe7c,Phu Van,Đăng nhập ko đg,1,
474c826b-2240-4113-bceb-ee05dcd3f20f,46ùg Sbnvg,Ok,4,10.9.1
dade8fa0-8c60-41ce-9276-a72a1da837bf,Dinh Bui,Ok,5,10.9.1
248a3daa-3230-46ae-bfc4-865db7a49aee,Hiếu Lê Trung,Như lozz,2,
6351882c-53c1-40f6-ad63-abd5e0894800,Tuyen To,Tôi đã tải xong. Nhưng nó cứ quay vòng vòng k cài đặt đc nên tôi đánh giá 1 sao,1,10.6.3
837507d2-36ca-4c75-9df0-aa607ef6be88,໒ཏăས ๖ʆມཛ ໒ཏศསསཛʆ,Ứng dụng dành cho bọn lừa đảo k nên chơi,1,10.9.1
6e8c3eb5-334b-422b-91c2-3f81264a1c4a,Yen Do,Toàn bọn lừa đảo.,1,
e532aaf8-7735-440e-991b-30bfa586fcea,Tùng Nguyễn Mạnh,"Quá tệ, không có support",1,10.9.1
ee71161c-a9ae-4009-a0e2-b242754a6251,An Bình,Như cc,5,9.0.2
a4a3278c-2cf3-42b3-b98b-9f5a1878eec0,Diem Ngọc,sao ứng dụng cài không được,1,10.9.1
611f04fe-302b-460a-9f65-5c0a5cd06737,Kiên Nguyễn,Hôm trc đăng nhập đc rồi hôm sau lại bị thoát ra,1,10.6.3
4d7dfd10-a300-40ef-b8a0-20f99e584730,Thái Dương,quá đã Pepsi,5,
c0d042c0-455e-412f-b403-c55e35f1b1f6,tuấn huỳnh văn,Tốt,5,
4980746c-a7f9-4fe3-ad6f-2a83e2f783cd,Sơn Lưu,app lol,1,10.9.1
0260f5fa-b998-4aef-afac-9f88c442966b,Thuy Kieu,Ok,1,10.9.1
635422b5-3bb7-4c29-b8cb-03eeab00410f,Phước A,Ok,5,10.9.1
d1e42195-400e-4b2b-9e8d-61de99447930,Hùng Le tiếng,Gai goi,5,
77c6f911-f1d5-47c6-882f-f55e351a7350,Quốc Anh Phan,"Rat thuan tien ,an toan& kin dao",4,
3634131e-5116-4d49-bd3e-e63c031b6304,Thị Nga Trần,Game hay uy tin ạ,5,
8b2caf70-ab25-4fc5-a5ea-8d238932443c,Hồng Tiền Nguyễn Thị,Dành cho những tên lừa đảo lừa đảo nhiều tiền hơn,1,
80380170-a8ef-4292-91fb-39c471fbfd42,Dung Tran,Ok,5,
e201994a-41b5-47d4-b9e2-4cf031c13276,thao tao,Tuyệt vời,5,
26858eba-9cad-4dce-9d4f-14f6efb8cef2,Khoa Daohuu,Ok,5,
8496fd4c-5af8-43d7-aeb3-82386fe89338,Anh Đức Lê,Trãi nghiệm nt an toàn và rất đặt biẹt cho app 5 ngôi sao luôn =)),5,10.9.1
9cba5718-5725-4ab6-ba2b-9f0b0eedb2cf,Phucs Ngo,cái này tạo ra cho bọn lừa đảo hay sao ấy để tên sđt mà sáng hôm sao nhắn tin không trả lời qua mesenger mà không nhắn tin được,1,10.9.1
70738e8b-ad65-4d01-8c2f-10498086eb71,Huyền Nguyễn,Không có tiếng việt,1,10.9.1
