reviewId,userName,content,score,appVersion
40106a83-a9b4-4818-ae6b-45e3aecd17c3,Angela Marie Butler,Awful got abused online by another user claiming to be a WWE wrestler Bobby Lashley aka Robert Franklin lashley calling me a domestic violence survivor stupid but he asked for my driver's license and social security number just like a scammer would he on ur site right now he has a temper so watch out I was very afraid of him. 😟😟😟😟😟😟😟😟😟😟,1,
4b5696eb-91f2-4dfb-aab5-9fcb85d06f38,Md Joni,Good apo,5,
ea909e04-1ae9-4f7f-82f0-f9d60791b327,Barry Storey,👍😎,5,10.6.2
db0fda6e-f0ec-4df7-9ac7-091bc3399b1e,Raymond Ocholofu,Good,5,
43110d57-3448-4b52-845b-6fddc0726d9b,Saurabh K G,Settings has some sweet chat themes...maybe you should change the default theme to one of those,5,10.0.5
5ad60552-e593-45fc-bd99-57abce76f14d,Taku Mhlanga,👌,5,
66a5efe2-488a-43eb-9c51-e39405dbac0e,Devan Kerkar,After latest update my app is not opening at all.,2,10.8.2
7b93b671-0cbd-499b-a90c-d3bbad38a8dc,Nyiko Mthisi,The things I download don't play now,2,10.9.2
dd37566b-e709-43d7-a1ad-3f593c65424a,A Google user,Audio call is properly work but video call not work properly Connect video call show always poor Connection Please fix it next update,3,10.9.2
52940839-56ba-47e7-afc5-e1438a81aa09,Madawat 52,Cheap app,1,10.9.2
b5147d1b-351d-4a46-9709-82e5d631859d,Saray N,Great 👍,5,10.8.1
2f05ca62-c97e-4f84-8612-04eadd26ec91,Nafis Hasan,Cuat,1,10.9.2
fbdf167b-8ea3-4c11-9fd2-3cdca2c42fb7,Usman Ghani,Good app,5,
2d24221d-c7a6-4292-8a7a-395cfd1307bd,inday haliparot,Very best apps and easy to apply no hassle..i reccomend ito na apps,5,10.9.2
df3659f3-9173-459f-ac8f-173abd3edb1f,Farrukh Shahzad,Firstly it take time to connect with internet after it i uninstalled it and install again but know i enter my number but it is not working and goint forward from first page Solve my problem and send me some advice,1,10.9.2
2bf003e6-bbd8-4aea-b925-7de74068b78b,Liju Varghese,Love it,5,
80da4051-5ed3-482e-a2d3-73b2433d7150,M Khan,"It's a 5 star app. Safe, secure from Pegasus Israel virus(WhatsApp virus) and don't share accounts details with rogue and dictator govt around the world. It's not working in Pakistan because it's rogue institutions can't track you. That's why it is blocked by PAKISTAN TELECOMMUNICATIONS AUTHORITY. only works with VPN sometimes. Telegram can you please create your VPN so we can use your software effectively?",5,10.9.1
6ddc7047-0763-4636-a258-d7458648bdeb,Shalini BC,Downloading become to slow it's consuming more data ..it's not worth to use app now,1,10.9.2
4566d519-eca2-4375-b73c-7e1c3def4d30,Ssemanda Hanz,Good for me,5,
f6660552-8840-4956-9ebf-33e27b5c03c4,Karabelo Moholo,This app is massive,5,
0531fedc-fd53-40ec-9afb-d9bacff27b91,R. Shadurshan,"I'm using this app more than help full and movie, and anime's download easily 💯",5,10.6.4
15c590d3-ea99-4bb3-9e0e-0285d376487f,Johan Wessels,What number do I use,2,
353a8794-e755-4c2e-8eed-5e4a628ee9e1,SAEED MALIK,Very bad telegram app connect so late😔😔,1,
3cd2c5bd-77bb-4ce6-aae7-5bc34c3d81f2,arif patel,I already update telegram app but i can't see some msg which is show update this app,1,
970e49f3-9627-42bb-a6ff-af6ded7f90c9,lin lin,like,5,10.8.2
e5414db9-d4ac-4990-b396-48bcfb4c7406,Abdul ghafoor jakhro,It is not working properly load and making hang the phone,1,10.9.2
adaf09ad-1705-4252-a76a-0830c5df0c91,LAKSHMI KANTHA,Its usefull...,3,10.9.2
0f2bc9ba-1b09-4461-a773-b012354327cd,THUKTE N PHUNTSHO,Wow this app is wonderful I really like this app I am installing this app again because my sister has miscketly deleted who has make this app I am really proud...🙏🙏🏻,5,
d7aa5f5e-ab92-4b02-a01d-d8678043da8c,Kaziro Eddy,So nice to have this app,5,10.9.2
72ff25a9-21c2-42e6-b0b7-fac22a08f7f2,Sandip Sagat,❤‍🩹❤‍🩹,5,
2cb1aae5-4098-4654-acbd-86cd2a692da4,gopal vyas,Problem in sign in don't know why not verifying my no otp not coming please help,2,7.1.3
cf04e13b-975e-438f-9de8-f36f6e538f56,BELLO GOODLUCK,Love it,5,10.8.2
fdd5a346-0db7-49c4-b92a-c109eb8585cd,Sanjidaakter Semu,Telegram banned my number without any reason,1,10.9.2
b40818fd-1380-4224-80ac-dbab4f7e61b1,Parmesh Gowda,The design of this app is top-notch. It's both beautiful and functional.The customer support team for this app is fantastic. They're always quick to respond and very helpful.,5,10.8.1
fd75d681-e20a-4526-b6d3-6fc85ed461a1,Godwin Henry,This is the most useless app have ever used I mean I can't use it for up to a year they just keep disabling my account men I hate this app with all my heart I mean all my friends account there just keep disabling them for no reason 😡😡,1,10.9.1
c4f9e5ae-a33b-4ed7-9b64-b2047ba396fc,Abhishek Patil,Worst app...,1,10.9.2
db06abda-fae5-4ebe-8e42-c6e45721154e,Md Saruar,Bangladesh banglalink sim code SMS login problem,1,10.9.2
45fb2286-9f1a-4058-bf87-e9b4456b24d5,Raj Kumar,R.k.Raj,5,10.9.2
0f686cb0-8e7c-4969-9ebb-ba58ca4b3cc4,Somanath Shobi,Poor working app. Not working well bad Quality app .,1,10.8.2
f56e9c11-797b-4b4b-b0e1-70f05cfc9fce,Anuruddha Srinath,How can I locate the storage of downloaded videos?,2,10.9.2
83b3f564-00a9-4570-b390-9c6d9ba74a59,Sardar Umar hayat,Good,4,10.9.2
6bcc2c99-55c2-4b41-8219-460144f123f8,shubham gupta,Totally slowest app doesn't working fluently very bad,1,10.9.2
6797d1ba-fefd-4655-83d7-5d8e307672f1,PUBG LOVER,Low speed downloading 🙄,1,
b57dd2af-31d6-4141-8174-cac496b6b543,Epilosca,"2 of my cellphone numbers were banned without reason, I have emailed them many times with no change",1,10.9.2
e8d7ee4a-c47f-44fd-81ad-229822ae0fa8,MD Abubakkor,Bangladesh Banglalink sim login code SMS problem,1,10.9.2
4af3f5a2-5de0-4209-a479-8d2849d1f7a8,M Yousif,Very bad app connection problem,1,10.9.2
5caa99c3-bc60-4e6e-9235-02d01a631ea7,Mursleen Jatt,2 year,2,
7070bbcf-9b2e-4134-b98f-4bd6c59e9fa2,Somnath Das,"Videos from the channels stop downloading, even after starting several times. Poor experience!!!",1,10.9.2
9810a273-ab50-44a5-b486-675328cf4e19,Rinki Kumari,Good,5,
